time,mag,magType,nst,gap,dmin,rms,net,place,locationSource,magSource
2023-01-26T13:05:39.821Z,4.8,mb,45,59,1.055,0.46,us,"75 km ESE of Obock, Djibouti",us,us
2023-01-26T11:03:18.202Z,3.2,ml,14,52,0.081261372,0.2,tx,"15 km NE of Hermleigh, Texas",tx,tx
2023-01-26T10:47:42.549Z,2.6,ml,19,70,0.08173564,0.2,tx,"15 km NE of Hermleigh, Texas",tx,tx
2023-01-26T10:45:53.633Z,6,mww,70,34,1.184,1.08,us,"Kermadec Islands, New Zealand",us,us
2023-01-26T09:11:56.320Z,3.46,md,15,252,0.6719,0.22,pr,"71 km N of Brenas, Puerto Rico",pr,pr
2023-01-26T07:58:05.400Z,2.5,ml,89,38,0.007128,0.2,ci,"26km SW of Ocotillo Wells, CA",ci,ci
2023-01-26T07:06:03.930Z,2.51,md,12,75,0.01085,0.02,nc,"6km NW of The Geysers, CA",nc,nc
2023-01-26T06:33:44.558Z,4.9,mb,58,109,2.099,0.66,us,"158 km NW of Tobelo, Indonesia",us,us
2023-01-26T05:45:14.274Z,2.5,ml,40,53,0.032810654,0.2,tx,"54 km S of Whites City, New Mexico",tx,tx
2023-01-26T04:29:44.168Z,4.1,mb,16,119,0.294,0.69,us,Ecuador,us,us
2023-01-26T04:23:51.406Z,5.7,mww,91,38,2.126,0.85,us,"171 km NW of Tobelo, Indonesia",us,us
2023-01-26T04:16:05.490Z,5.3,mb,76,43,9.079,0.59,us,"74 km SW of Porto Novo, Cabo Verde",us,us
2023-01-26T04:07:54.913Z,4.5,mb,13,155,1.312,0.52,us,"Kermadec Islands, New Zealand",us,us
2023-01-26T03:16:21.963Z,4.6,mb,26,136,0.474,0.46,us,Ecuador,us,us
2023-01-26T01:41:56.653Z,4.1,mb,20,80,1.836,0.47,us,"64 km SSE of Farkhār, Afghanistan",us,us
2023-01-26T01:26:19.840Z,2.7,ml,50,88,,0.12,hv,"2 km SW of Pāhala, Hawaii",hv,hv
2023-01-26T01:17:00.960Z,4.3,mb,22,104,0.626,0.54,us,Peru-Bolivia border region,us,us
2023-01-26T01:11:28.150Z,2.81,md,76,49,0.02466,0.17,nc,"9km SSE of San Juan Bautista, CA",nc,nc
2023-01-26T00:45:03.840Z,2.5,md,16,115,0.09485,0.15,pr,"6 km N of Yaurel, Puerto Rico",pr,pr
2023-01-25T23:38:27.512Z,4.3,mb,36,105,2.456,0.55,us,"92 km NW of Semera, Ethiopia",us,us
2023-01-25T23:23:43.160Z,2.6,md,43,251,0.6913,0.25,nc,"81km W of Petrolia, CA",nc,nc
2023-01-25T23:21:33.679Z,4.9,mb,85,56,8.557,0.88,us,"29 km SSE of Kangding, China",us,us
2023-01-25T23:14:42.540Z,4.5,mb,64,66,5.548,0.77,us,south of the Fiji Islands,us,us
2023-01-25T22:27:31.440Z,4.7,mb,58,134,17.192,0.52,us,Mariana Islands region,us,us
2023-01-25T21:53:05.590Z,4,mb,25,132,2.001,0.4,us,"61 km N of Khandūd, Afghanistan",us,us
2023-01-25T21:19:09.400Z,4.4,mb,51,76,6.459,0.96,us,"Western Sichuan, China",us,us
2023-01-25T20:57:21.130Z,4.4,mb,28,78,6.434,0.75,us,"45 km SSE of Kangding, China",us,us
2023-01-25T20:51:10.639Z,4.4,mb,39,56,6.396,0.7,us,"41 km SSE of Kangding, China",us,us
2023-01-25T20:30:44.433Z,4.5,mb,23,76,6.458,0.88,us,"34 km SSE of Kangding, China",us,us
2023-01-25T20:13:06.656Z,5,mb,38,121,14.103,1.02,us,Kermadec Islands region,us,us
2023-01-25T19:49:45.325Z,5.5,mww,118,27,8.571,0.77,us,"27 km SSE of Kangding, China",us,us
2023-01-25T19:31:08.670Z,4.5,mb,48,145,2.021,0.91,us,Molucca Sea,us,us
2023-01-25T17:43:57.530Z,2.89,md,75,22,0.01205,0.05,nc,"6km NW of The Geysers, CA",nc,nc
2023-01-25T17:17:43.240Z,3.21,ml,51,202,,0.13,hv,"Island of Hawaii, Hawaii",hv,hv
2023-01-25T16:02:10.344Z,5.3,mb,160,36,5.833,0.73,us,"146 km S of Hotan, China",us,us
2023-01-25T15:51:50.966Z,4.6,mb,24,118,2.132,0.95,us,"170 km NW of Tobelo, Indonesia",us,us
2023-01-25T15:13:35.862Z,3.9,ml,,,,0.68,ak,"Kodiak Island region, Alaska",ak,ak
2023-01-25T15:09:34.409Z,5,mb,53,62,6.745,0.9,us,Kermadec Islands region,us,us
2023-01-25T14:12:54.029Z,4.8,mww,140,52,5.801,1.11,us,"44 km WNW of Panguna, Papua New Guinea",us,us
2023-01-25T13:48:26.826Z,4.1,mb,20,189,1.916,0.72,us,"95 km N of Huocheng, China",us,us
2023-01-25T13:19:39.197Z,2.5,ml,,,,0.4,ak,"40 km ESE of Perryville, Alaska",ak,ak
2023-01-25T13:13:38.222Z,4.6,mb,33,102,4.098,0.68,us,"southern Xinjiang, China",us,us
2023-01-25T12:46:17.709Z,4.6,mb,30,173,7.522,0.84,us,"201 km SE of Kokopo, Papua New Guinea",us,us
2023-01-25T12:37:05.514Z,5.9,mww,126,34,0.581,1.35,us,"62 km SE of Lárdos, Greece",us,us
2023-01-25T12:01:53.650Z,2.74,md,38,116,,0.11,hv,"4 km SSW of Pāhala, Hawaii",hv,hv
